Grade_SS,B,H,t,L,L/B,Eo,f_0.2,fu,n,fc_cyl,N_Test
1,51,51,1.81,150,2.94,205100,353,680.93,10.4,21.5,234
1,51,51,1.81,150,2.94,205100,353,680.93,10.4,21.5,243
1,51,51,1.81,150,2.94,205100,353,680.93,10.4,34.9,268
1,51,51,1.81,150,2.94,205100,353,680.93,10.4,34.9,274
1,51,51,2.85,150,2.94,207900,440,743.83,8.2,21.5,358
1,51,51,2.85,150,2.94,207900,440,743.83,8.2,21.5,364
1,51,51,2.85,150,2.94,207900,440,743.83,8.2,34.9,394
1,51,51,2.85,150,2.94,207900,440,743.83,8.2,34.9,393
1,100,100,2.85,300,3,195700,358,664.9,8.3,21.5,705
1,100,100,2.85,300,3,195700,358,664.9,8.3,21.5,716
1,100,100,2.85,300,3,195700,358,664.9,8.3,34.9,765
1,100,100,2.85,300,3,195700,358,664.9,8.3,34.9,742
1,101,101,5.05,300,2.97,202100,435,727.19,7,21.5,1352
1,101,101,5.05,300,2.97,202100,435,727.19,7,21.5,1348
1,101,101,5.05,300,2.97,202100,435,727.19,7,34.9,1434
1,101,101,5.05,300,2.97,202100,435,727.19,7,34.9,1461
1,152,152,2.85,450,2.96,192600,268,585.89,6.8,21.5,1035
1,152,152,2.85,450,2.96,192600,268,585.89,6.8,21.5,1062
1,152,152,2.85,450,2.96,192600,268,585.89,6.8,34.9,1074
1,152,152,2.85,450,2.96,192600,268,585.89,6.8,34.9,1209
1,150,150,4.8,450,3,192200,340,644.84,5.6,21.5,1804
1,150,150,4.8,450,3,192200,340,644.84,5.6,21.5,1798
1,150,150,4.8,450,3,192200,340,644.84,5.6,34.9,1947
1,150,150,4.8,450,3,192200,340,644.84,5.6,34.9,1976
1,100.3,100.3,2.76,440,4.39,182000,390.3,762.1,6.7,36.3,767.6
1,100.3,100.3,2.76,440,4.39,182000,390.3,762.1,6.7,75.4,1090.5
2,99.8,99.3,3,299,3,217000,365,707,6,49.1,830
3,101,100.5,3,299,2.96,217000,365,707,6,68.1,1004
4,101,100.5,3,299,2.96,217000,365,707,6,86.4,1162
5,121,120.5,4.98,358,2.96,201000,317,665,6.3,49.1,1373
6,120,120,4.98,359,2.99,201000,317,665,6.3,68.1,1566
7,120.5,119.5,4.96,357,2.96,201000,317,665,6.3,86.4,1840
8,150,149.5,4.97,447,2.98,210000,324,673,7.8,49.1,1860
9,150,149.5,4.97,449,2.99,210000,324,673,7.8,68.1,2218
10,150,149.5,4.98,449,2.99,210000,324,673,7.8,86.4,2612
11,100.1,49.7,4.99,299,2.99,199000,322,671,3.4,49.1,720
12,100.2,49.7,4.98,299,2.98,199000,322,671,3.4,68.1,768
13,100.1,49.7,5.02,299,2.99,199000,322,671,3.4,86.4,837
14,149.5,100.3,4.99,448,3,201000,321,669,6,49.1,1419
15,149.8,100.4,4.98,447,2.98,201000,321,669,6,68.1,1643
16,149.7,100.3,4.95,445,2.97,201000,321,669,6,86.4,1920
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,35.2,1461.5
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,35.2,1534.1
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,41.12,1584.9
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,41.12,1532.8
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,35.2,2039.6
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,35.2,1930.6
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,35.2,2124.6
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,35.2,2011.9
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,35.44,1543.3
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,35.44,1590
